seconds,APL',R,G,B
507,43.9,30.6,18.3,8.0
508,42.9,30.5,18.5,5.2
509,42.0,30.6,18.9,3.1
510,44.0,25.5,27.0,22.4
511,44.0,25.5,27.0,22.4
512,42.4,13.8,19.0,54.5
513,42.3,23.1,16.0,10.2
514,42.5,21.1,20.5,17.6
515,42.6,21.5,20.7,17.7
516,43.0,18.2,19.2,19.4
517,43.5,18.7,19.4,19.7
518,41.8,18.5,18.4,25.8
519,42.0,19.2,19.0,26.3
520,41.3,18.8,18.6,25.5
521,42.1,13.9,15.5,15.7
522,42.0,19.6,18.7,26.1
523,42.7,18.0,21.7,20.2
524,42.7,18.0,21.7,20.2
525,41.3,11.2,16.3,22.8
526,41.8,22.5,16.1,5.7
527,42.4,9.6,19.9,3.8
528,41.6,9.3,19.1,3.8
529,39.1,8.3,16.5,4.1
530,40.9,16.3,17.7,23.5
531,41.4,13.8,13.7,14.1
532,41.6,12.9,16.1,34.8
533,40.1,27.3,15.3,14.9
534,40.8,28.3,15.7,15.1
535,41.1,16.7,14.3,10.0
536,39.3,15.5,13.5,9.5
537,39.2,15.4,13.5,9.3
538,40.7,16.5,15.7,17.3
539,39.5,5.1,12.3,27.5
540,41.0,5.7,13.3,29.2
541,40.6,12.2,14.0,6.0
542,39.9,11.9,13.6,5.8
543,40.1,14.2,12.0,7.3
544,39.9,21.4,17.3,8.9
545,40.3,21.5,17.0,8.7
546,39.7,11.0,13.3,13.3
547,39.4,11.5,13.5,9.7
548,39.7,10.0,14.1,13.7
549,38.8,16.0,14.9,16.1
550,39.5,14.1,12.8,13.2
551,34.8,13.8,12.8,12.7
552,39.0,17.0,16.1,16.9
553,39.1,16.8,16.1,17.0
554,38.6,11.6,13.9,18.6
555,38.5,16.4,17.6,17.2
556,37.6,15.3,16.3,16.1
557,38.2,15.3,16.3,16.2
558,38.0,15.0,14.2,14.2
559,38.0,15.0,14.1,14.1
560,37.8,11.3,13.6,20.9
561,37.7,11.2,13.6,20.7
562,37.5,13.3,14.9,20.2
563,37.5,21.8,9.0,7.7
564,37.4,18.8,16.0,8.5
565,36.6,18.1,15.3,8.1
566,38.1,22.1,13.9,15.0
567,36.6,20.8,12.8,13.5
568,36.1,20.4,12.6,13.3
569,40.6,9.5,14.6,20.3
570,37.1,17.5,18.7,16.6
571,36.3,16.9,10.6,13.2
572,33.5,25.5,24.9,24.4
573,36.2,30.0,29.0,27.8
574,38.7,17.6,13.9,9.2
575,37.7,17.8,13.9,9.3
576,35.2,16.1,12.6,8.3
577,34.2,15.7,12.3,7.8
578,35.3,13.3,14.7,22.8
579,36.4,17.6,11.1,12.7
580,35.5,17.3,10.8,12.1
581,34.3,16.1,9.8,11.1
582,37.6,9.9,11.9,21.9
583,37.0,9.7,11.6,21.2
584,35.5,9.1,10.8,19.6
585,35.2,9.1,10.8,19.5
586,34.4,8.8,10.5,19.1
587,35.1,6.2,9.7,19.3
588,36.5,13.0,11.1,11.3
589,35.2,11.6,10.4,10.8
590,34.1,9.8,9.2,9.8
591,35.3,12.0,10.8,8.3
592,34.2,9.4,10.9,5.2
593,32.9,13.9,12.3,11.5
594,33.5,14.6,13.1,12.1
595,35.5,16.1,14.6,13.3
596,36.1,16.5,15.2,13.7
597,33.8,20.8,15.5,18.2
598,32.4,19.3,13.4,15.1
599,33.0,20.9,17.4,19.4
